Response,Score
"Restaurants. I live in London and love to eat out. And where you__re in a restaurant, it__s a treat! All bets are off.
 
 Also I find it very difficult if I__m not prepared at work. If I__m relying on the canteen or popping out then it__s all sandwiches as far as the eye can see. 
 
 But I take a week long view so as long as there__s balance across the proven I can relax. 
 
 My main concern is that if I don__t keep an eye on things my weight will fluctuate so quickly. And I can see when I__m rundown, my lips go dry and cracked, my skin gets tired - I don__t want that. Looking after myself, self care, is so important. Someone very recently described the foods they liked not in taste but the way it made them feel in their body - totally new on me!",2.5
"Socialising with family and friends and special occasions where it__s culturally expected to have very rich, heavy foods (e.g meat, alcohol) 
 
 Travelling abroad for work and leisure might be dependent on where you are and whether you have access to local recommendations that are also healthier choices.",2
"Most definitely! Going out to eat is always an occasion where there are often lots of unhealthy choices on the menu. 
 It__s harder when we have lots of kids in the house, when the kids have sleep overs and they want sweet stuff and ask for pancakes in the morning. Often it__s hard if you__re away from home on holiday and they don__t have the same quality of fresh foods in the shops and you find yourself limited",2.5
"ALL THE TIME. 
 
 Especially as the kids are still eating what they bloody well please. But the payoff once that pang has gone makes it tolerable.",2.5
"I eat oatmeal porrige everyday for breakfast, it is healthy, good, cheap, environmental friendly etc. However, I don't like all oat products such as oat milk or oat sour cream etc.",2
"In winter, I eat Quaker Oats for breakfast - mainly the sachets with golden syrup in them. They are pure nostalgia for me. I used to eat this as a kid to warm me up. 
 
 I do kind of associate oats with Quaker Oats and my grandma. Sometimes I make flapjacks, but once again it is more for nostalgia effect. They are more like a comfort food for me when I am feeling a bit low. 
 
 I do sometimes eat these yoghurts - http://nomadic-dairy.com/ - when I buy a Boots Meal Deal. The clusters yoghurts contain oats. I associate them with flying, travel and adventure because I only buy Meal Deals in airports or before business meetings in London. 
 
 I don__t use them in any other part of my diet. Although, I should because they would be great to add them to the breakfast smoothies I make with my Nutribullet. 
 
 I generally associate oats with being old fashion, basic and a comfort food with the exception of Oatly. I keep seeing Oatly ads everywhere and it looks really interesting and quick cool and hip. I just need to go out and find a local cafe that serves it.",3.5
"Oats are definitely more important in my diet now. I've switched from almond to oat milk for cereal and find it a nice alternative in coffee when in a cafe. When it's cold I'm a big fan of porridge and like baking with oats generally, I find they keep me feeling level headed for longer when combined with sugar. So for instance, if I ate a flapjack I wouldn't feel as tired later in the day than if I ate a chocolate bar.",2.5
"Wow, what a question! Yep, eat my porridge every day. In summer I switch to oatcakes sometimes. I often have them on standby at work.
 
 My perception of oats then...
 
 Filling, good for you, a good grain to incorporate into your diet. Not overly processed which is good.
 
 In all honesty though, not that inspiring! Can be a bit dull - they need some love and flavour added (as per my lovely breakfast).
 
 Never thought of them beyond breakfast food or an oatcake snack. Would struggle to incorporate them into my diet with savoury main meals. 
 
 I__ve never been asked what i thought about oats - there you go, a world exclusive!",3
Oats makes my gut feel more settled and grounded in the mornings. It has helped a lot with my IBS and digestive issues in the past. Oats is also great for my skin as I suffer from eczema occasionally.,2.5
"Absolutely love them! I usually have porridge every morning for breakfast, with nuts and seeds. I also often drink warm oat milk. I used to have a real hot chocolate addiction which I__ve kicked thanks to discovering oat milk! The children often have porridge for breakfast too and I love being able to send the kids to school knowing that they__ve had a great start to the day anstheyll have the energy to see them through to lunch",2.5
"Not at this very moment because of the carbs thing.
 
 But.
 As a general rule, yes. 
 In porridge, in homemade flapjacks, in crumbles, in muffins, in muesli. 
 They're yummy.",2.5
"Security, protection, necessity.
 Though it would be really nice to live in a world where money don__t matter, it is not the case in everyday life. I could never say that money is there to spend to the last dime without thinking of tomorrow. For me money is a way to feel secure, to know I will always be able to spend without stress should something happen. It is my anchor. It is something I have always experienced and taught from a very young age. Money is not there to be spent without thinking, it is there for a need that may occur, something like sickness or if there is a housing need etc. I have adopted my father__s thinking as I have seen friends struggle when they had sudden needs and trying to get quick loans to cover those needs. Therefore, I never spend my entire salary on just having fun or buying things. I always need to have money aside for when I really need them even if that means I will cut my expenses from things like going to restaurants or going to the hairdresser every week/month. And if there is a need, I want to be able to use that money immediately without waiting on funds or needing to sell shares. This is why I need to have a good amount of money in the bank which I can use anytime, anywhere. Also, it is the reason why I must always find ways to earn more money, be that from doing ad hoc jobs on top of my job or investing in housing and getting rent.",2.5
"Life is short. Looking_ back I think I understand the real value of things. And there is nothing special but to be with my family and to be in demand. Every day we have a lot of opportunities to reach our goals but at the same time it is so easy to miss them. I tried_ to be well educated_ and spend a lot of time on it, I graduated with a PhD and tried_ to build a_ career_ as a scientist. I thought once I started and I should go to the end. But then I realized I spent too much of my energy for something I don't really need. Now I think I should not go so far and life should be easier. We all just want to be happy and should focus on things that make us happy. Now I have a family I love the most, I'm a furniture designer. Unfortunately, I'm separated from my family because_ of the war in Ukraine. My wife and son escaped the war out of the country and I should_ stay in Ukraine. I lost my job and have to be flexible_ to survive. All I want now is to join my family as soon as possible and other things are not so important because I'm not afraid_ to learn and start from the beginning.",2.5
"1. Late in better than later
 2. Jump, and the net will appear
 3. Magic happens to those who most expect it
 4. Done is better than perfect
 5. The right moment is always now
 6. People make all the difference, all of the time
 7. You need to notice when you're living a perfect moment, and appreciate it",2
i would hopee my friend would say something along the lines of intentional yet takes one day at a time',1
"I love spaces where people can express themselves and found that here - so thought why not!
",1
"I think he will tell you that I am a rational person, that I am responsible and I take the time I need to do the things in the best way",1
"I think they would say I approach life in quite a humble and optimistic way. I make a point of noting how beautiful a day is when it's sunny and when it's raining I appreciate the downtime it gives me. I think my approach to life is to be grateful for all that I have and appreciate the good moments because its easier that way for my anxiety. That way, when there are times when I am down and unwell I can tell myself what to look forward to. I would hope they would see that I try to see situations from an eagle eye perspective. To try and understand everyones situation and because of that I think they would say I am a very empathetic person. But this also doesn't mean I'm a pushover or naive. Lastly, think they would say that I am stubborn and strong headed and I want to take control of situations to make a positive difference.",2
"I am a very responsible person. What I start I must finish. I don't like leaving tasks or goals unfinished. I am very persevering. If I set my mind to something, I have to achieve it.",1.5
"Beauty is seeing more than the mundane. Seeing beyond. Seeing the creation of something, how it makes you feel, how you respond to it. Sometimes you look at something and you don't know why you want to keep looking at it. It provokes something in you. Sometimes you get it, sometimes you don't. 'Inside out beauty' is understanding that everyone and everything has the potential to be beautiful - even if on the surface, the person or thing does not conform to societal 'norms' or 'ideals' of beauty. An ugly duckling can be a beautiful swan on the inside. A neglected plant has the potential can be a blooming flower.",2
Make-up enthusiast,1
"This community is a farm, with 42 families living in it, close to the beach. I decided to move here to live close to nature and close to people who have values aligned with mine. I am a single woman and my friends who live here have kids, and I love kids. I also meet people who have families, because I would like to have my own one day. Before this community, I was loving in Sao Paulo and feeling lost, jailed and lonesome.
",1.5
"I am a cat mom. I am single and live by myself. It's just the two of us.
",1
"Yesterday (Sunday, 5/19/19), I had four distinct gaming experiences that functioned somewhat independently. In the morning, I took a break from a side project I was working on to get a few quick games of Overwatch (PS4) in just to take my mind off the project for a bit and refresh. A few hours later some of my friends jumped on Overwatch to play (we have a dedicated group text), so I jumped back on to join them. We all met a few years ago while working together, but we're now spread out across three states. We made our own ""team"" (we had jerseys and koozies made ...), and Overwatch in particular is part of the reason we make sure to check in on each other several times a week__¡±it keeps us together across space and time in the ways that simple text messages couldn't. For several small bursts throughout the day I jumped onto mobile (Brawlstars, iPhone) mainly just to do my ""dailies,"" which is most often just something to pass the time enjoyably while waiting on something/someone else. Finally, before dinner I played a boardgames (Terraforming Mars) with my girlfriend and her family. It's a great opportunity for us to catch up and spend some time together interacting in a way that's rewarding as well__¡±allowing us to compete (as well as work together) in a way that more passive activities (e.g., Netflix) just don't allow.",2
"High quality products that just make you feel all kinds of lush. Something you cherish, adore and keep on the top shelf. Something that makes you feel fierce, powerful and confident.",1.5
"I've worked for the better part of my life in an corporate environment. Even though i design for a living, I'm always answerable to a superior in my workspace. I did this for sometime with the hope that i would always quit, but i never got around to it. The financial stability, the friends i had made and being able to have a good lifestyle had made me complacent and i always putting quitting on the backburner. After doing this for sometime, i started hating what i do, myself, my health deteriorated. The comfort became toxic for me and i wasn't happy anymore. After some soul searching and really deep diving into why i was happy, i came to the conclusion that i was fed up of creating these works of art and making other people benefit and profit of me. I knew i had the skillset to make it on my own, but the stability again showed its ugly head. I realized i had to take the plunge and risk it all. I knew i'd always hate myself if i didn't try. So one morning i got up and without second guessing i quit my job. After quitting it was stressful for a while and there's alwasy up and downs. But i now work for myself. I work to make my self look good. I get up in the morning and i don't hate myself. This is the best decision i have taken and I've never felt freer. I can be myself, i don't have to worry about mandates and guidelines. I create art for myself and i have fun doing it. That for me is freedom.",2.5
"We live in a red world. All around us is this scorching soil. So harsh, so unforgiving. Now take this blue sheet of paper and place it on the floor. Imagine now the entire horizon in front of you is covered in this sheet of bright blue paper. Your eyes dont burn as much because of the cooling effect of the blue. There's a wonderful breeze in the air. The ground beneath you is breathing a beautiful green. When you put your hand on that sheet of blue, it goes straight through it and your hand feels cool and its feels like its in limbo. A home to millions. While it is calm and beautiful to look at, if you don't respect it and try to best it, it will consume you. It is ruthless even at its calmest. It gave sustenance to this world and it also balanced it.
",3
Widegarn _hlvik,1
"My designing, my 5(00) kids, and the occasional rocking and rolling.",1
Make-up enthusiast,1
"Luxury means rarity, exclusivity, quality, indulgence, everything you don't need but makes you feel special",1
"Balance is a key word for me. I try to eat healthy foods as much as I can - but I just go for what I really like. Not skipping meals is one of my mantras: breakfast, lunch (not sandwich or salad, a proper meal!) and dinner are sacred plus a snack in the afternoon frequently as well. I also like to cook and prepare my food. Food for me is life, is pleasure and can even be medicine so I pay attention to it but I don't overthink.",2
"I'm a Brazilian living in London where I ran my own business as an emotional branding strategist, helping brand figure out who they are",1
Software Sales,1
Upgrading your everyday life with quality products and one time experienses that we always wanted to do.,1
"I'm a junior architect and architectural illustrator, currently based in Hamburg... I love all things creative and let my work and hobbies melt together in the most healthy way.
",1
"That unbeatable cheese / wine combination, raclette and cauliflower cheese, of course!",1
"Careful. Control. Transparent. I started with ""careful,"" because I'm (officially) retired and worked long and hard to make the money I have. As a result, I need to protect those assets, since there's not likely to be little chance to replace them if they're lost. ""Control"" means I want to be in control of my investments and spending, and not leave those decisions to others. And ""transparent"" means I want to know risks, costs, and procedures up-front, and not be blind-sided later on. I'm willing to take risks, but want to be able to calculate those risks.",1.5
"what i¡¯d miss most is the feeling of being surprised. the surprise of a long time memory or the surprise of a scent i never smelled before. for me, perfume is like creating other time spaces and it also gives form to a feeling. it¡¯s an invisible form but it can reach us so profoundly.",2
"I am not sure I can explain DeFi at all. I have tried to understand it but my knowledge is still minimum. I think that DeFi is basically virtual banks with no headquarters or branches. It is all virtual. So you have virtual money that you invest in virtual shares and you can buy only limited things as these money can__t be used everywhere. That is also something I can__t get my head around; why would someone want to have virtual money that they can__t use everywhere? It__s like saying you invest all your money in bonds which you can__t use, you can just see them going up and down in the share market and have mini heart attacks every time a share goes down. I am not saying that you shouldn__t invest, I just feel that DeFi can__t really replace real money because they can not be used widely or immediately. The only good thing I think there is in DeFi is that you don__t have the expenses that a bank requires or the checks for getting loans, and you could probably use the money in different countries without having to exchange them to the local currency. But again, you would be limited in using them.
 
 I don__t even know if there is a safety net with all these virtual companies/investments. How is your money secure if something happens? Will the state jump in to regulate/save things? Will you lose everything, for example if bitcoin decides to stop operating?",2.5
"When I was in school we were told that those who study hard will become successful, and those who skip classes and do not learn to meet the standards of society will be outcast. I thought I should find my place in life instead of living my life. Now I think we do not have to be passengers in life, we should be drivers.",2.5
"That women cannot have it all (and by all I mean a fulfilling job, a family, a fresh start, ambitions and so on). I believe it's all about believing it is possible, and making it happen (with a lot of help. Nobody can make it alone).",2
this is a super difficult questionnnn because i would invite every sort of controversial person to have ever existed and interrogate them intensely____ but if. ihadd to choose I would say maybe Martin Luther King because he was such an influential historical figure whose values and perception of life I really align with and aspire to live out in some ways,1
"I¡¯m part of a community at my society called ¡°Mind Matters¡± its all about raising awareness on mental health and giving people the space to discus and share their stories
",1.5
"I think I will invite my best friend and my girlfriend because they are the people closest to me. I think we will talk about our friendship, some things we can do together, school, social networks and videogames",1
"If I could take anyone in the world out for dinner, it would be the Queen of England. Not only because she's the queen, though a big reason, but because I feel she is interesting position almost all of us will never understand. She technically has more power than almost everyone in the world, but she has hardly any power to use it. She knows everything that's going on, the good and the bad, and is not allowed to show her opinion at all. I find this very interesting if I could have dinner with her, I would want to know how she feels about this position and how her view on her place in society.",2.5
"Well, I would invite a rock singer. I grew up listening to his music. My mother is a huge fan and I think her love for this band transferred to me. The singer is Axl Rose. I would go to eat with him in an open place, in the open air, I would order some light food and drinks. I would like him to tell me his story behind each song, his point of view and the reason that led him to be what he is today.",2
"I have always had curves. I've been thin and I've been overweight, but the curves have remained. In my art (whether that's illustration, painting or cartooning) I love drawing curves - whether that's with figurative work or in abstract pieces. I've always celebrated curves my art. Doing daily yoga, one is constantly challenged to look at ones body in different shapes and positions (different than you would get yourself in in every day life). At first it's hard - I'm not a yoga skinny-minny, so my body doesn't create these elegant uniform lines. But it still creates interesting shapes. The key word there is 'creates'. You create shapes with your body in yoga - you don't conform to a shape, an ideal. Yoga helps you mentally, so that in the end, you don't really care what you look like - as the benefits go far beyond the aesthetic and the superficial. It's all about how great you feel inside. That's inside out beauty for me.",2.5
"I work a lot in the make-up/beauty industry as a detail/parts and hand model so I feel like I have gotten a good look at what products and techniques industry professionals use. I have always liked make-up as a way to switch up my look and to make myself feel more confident. Little things, like curling my lashes or putting just a bit of blush on, makes me feel somehow ten times more put together. Beauty is so personal and everyone has their own history and struggles with self acceptance so I view make-up as such an empowering tool and great way to have fun with your own personal style. For me, quality products have become more and more important to my routine and I have come to be quite loyal to certains brands. I also have a masters degree in luxury brand management so I am always fascinated by what luxury brands do (in terms or marketing, branding, & touch points) to form deep connections and loyalties with their customers so I find this project extra compelling from that perspective.",2
"It is a farm with 42 families. I enjoy it because we live in a beautiful place close to nature. The mood here is amazing we treat each other as friends with respect and care. We share food :) We dance together. People who live here are from different backgounds and come from various places from Brazil and the world, like Argentina, Italy and Netherlands. There are people of all ages.There are kids in the farm, which makes everything more exciting. We have a whatsapp group where we talk about everything.
",1.5
"COMPANIONSHIP. Fifi and I are great company for each other. She goes wherever I go, she sleeps on my feet every night, she stays close when i am working or doing yoga... we are buddies, family, I feel like a mother to her sometimes. She is funny and expressive. I like to talk to her, to take care of her. She has a lot of character and I am so proud of her as a cat :) My friends and family cherish her. I adopted her 9 years ago when she was 1 month old. She was so tiny and was missing her mom. We have been through many cicles together: we traveled cross-country, visited my parents in the south, moved to the northeast together.... I love to see her reacting to things. And at the end of the day, she is my family. My parents are my ""family of origin"" but she, and the partner and kids that will come one day, will be my family.
",2
"Friends and I (some from the Overwatch group mentioned previously, some not), bought Anthem when it came out__¡±partially for the game, partially just for the ability to ""squad up"" and battle together. The game had so many issues that we effectively abandoned it__¡±which was disappointing from the standpoint of buying for and not enjoying a game, but moreso because it was something that a group of us were excited about doing together__¡±and losing that opportunity was more disappointing.",1.5
I__m a bit thrifty. My favourite piece of accessory are my rings collected from different parts of the world...each ring has so much meaning __¡¯_,1.5
"One of my most memorable experiences was recently when i decided to stop by this new art supply store. I normally buy my materials online, but his time i decided to go old school. For me it felt like being a kid again. There were so many options and i could physically touch and feel these products. Its a whole other experience when one is actually holding something physical in ones hand. I had lost that feeling since shopping online for so long. I ended up spending a bomb at the place, but it didn't really bother me. I ended up buying things that i wouldn't have bought online only for the fact that you really don't know what you want till its presented in front of you. That was really a great day and I've now been going there regularly since that first visit.",1.5
"I wish i wouldn't procrastinate as much. I am grateful for the skill set i have developed over the years and know I'm on the right to achieve what i have set out to do. I feel I would get there faster if I wouldn't procrastinate as much and put off doing key tasks on time. I meet the deadline, but i could be more efficient. My dream is to reach the pinnacle of my chosen career path. I have a more elaborate and clear vision of what i want to achieve, but i would rather keep it to myself and not jinx it. :)
",2
"Im an avid gamer, have a wife and son and work as a developer doing amazing things with eyetracking games and vr.",1
"Conscious, occasionally lazy. I do care about what my family and I put in our bodies and what our choices put in the ground, but I slip up and sugar myself more than I should.",1
"Make-up is about self-expression and self-care. It's about playing with colours and feeling creative, it's about enhancing your mood with a few swipes of blusher, mascara, lipstick. It plays a role of connection with myself, of entertaining and communicating how I feel at that particular moment.",2
"A vintage handbag from a Brazilian brand that doesn't exist anymore called Maria Bonita. It's my favourite handbag because I love the design, the size and the fact that nobody else has it.",1.5
"Not much to be honest, I have pretty much the same approach, I think my relationship with food is healthy",1
Cold for sure. Because cold drinks are refreshing and usually more colourful and energising,1
"Music enthusiast, concert goer, record collector, writer",1
"A very nice, warm scarf that I would usually not buy because of the price, but now it's the only scarf I wear.",1
"Distracted, light headed, irritated
",1
"Collaboration with wine producers. Wine is better with cheese. Cheese is better with wine. There is space to develop mutually beneficial partnerships that could also be attractive to retailers when designed well with effective POS. Also, there's opportunity to tell 'the story of cheese' better - to educate and engage the consumer in the life and story of the cheese makers and the process that so few know or understand - the more we educate, the more intrigued we become, the more likely we are to buy more or alternative cheese. It's a beautiful traditional industry with wholesome, attractive, inspiring and engaging stories to be told.",2.5
"DeFi is a way of securely and directly moving money among parties without intervening institutions to record or control the transactions. Blockchain technology that underpins DeFi offers a distributed means of securing transactions, and the direct peer-to-peer transactions promise faster completion of those transactions, as well as lower fees. Because DeFI operates largely outside established financial channels, its transactions are unregulated, leaving parties to those transactions relying on the good faith of participants.",1.5
Looking back I don't want to regret the life I lived. I hope to have time to be happy in life as long as possible,1
"Biggest hope: a more inclusive and respectful society. I want to see more representation and justice for people who are usually excluded or marginalised. Biggest fear: depletion of ecosystems. We are all connected, so if we destroy our natural resources, we are pretty much doomed.",1.5
"i think the way i approach life, work and money has evolved a lott over time and differs hugely between my parents let alone my grandparents being a second generation Black British citizen. I
 In so many ways even though I am black I acknowledge my privilege living off the trauma, discriminations, blood, sweat and tears that my grandfather and parents had to go through to even be acknowledged as a citizen in the UK let alone an equal one.
  Growing up as working class citizens my parents worked really really hard to provide in the best way that they could to provide me and my siblings with a good and enriched life. Though we were never really rolling in money, they always did the best that they could even when times were tough.
 Personally the topic of money for me especially as a child was always a difficult one as i subconsciously associated it with guilt and the idea of spending money on non-essentials or even things that i actually needed, made me feel so bad and just uncomfortable and in some ways even undeserving. 
 I also had at the back of my mind - this money could go towards something else or someone else and often missed out on things that I could have had if I asked. 
  But growing up and going through my own experiences I think my relationship with money has become a lot healthier - I don__t see money as this ___big scary giant__ that takes things away from people but I now see it as a tool.",2
"Conversations, openess and different perspectives
",1
"I think that me and the Gen Z have an approach to the money totally (or in a biggest way) digital, for example if I enter a bar to by a bottle of water that costs 1 euro, I will pay it using Google Pay on my smartphone, my parents will pay using physical cash",1.5
"The biggest difference between myself and my parents and grandparents, in terms of work-life and money, is their respect for the hard work it takes. They have more experience than me in many ways, especially after raising children, which has a big impact on your ability to work and the amount of money you make. While I know I am starting to understand it more as I gone through several jobs, I know that your mindset can change hitting different obstacles. My parents way of approaching life is to appreciate the downtime they have and relax and to spoil themselves occasionally. My approach to life is a bit more spontaneous and to enjoy spoiling yourself in the moment. However, this is not to say one is right and one is wrong. My parents have built a sustainable life and know how to better manage money and time then I do so far.",2
"My parents wanted me to go to law school and graduate. But I went to art college, and I'm still studying. Maybe it's not what they expected but I'm making my way and it's in parallel with my parents' wishes.",1
"Having suffered with anxiety and depression on and off for years, I had a mini-breakdown in April 2018. Part of my recovery was taking up yoga. Just online - just 20m everyday. I didn't have an expectations, other than it might good to do something every day as a challenge for a month to help me get back into a routine. It REALLY helped. I couldn't get enough of it. Now I can't go a day without doing some kind of yoga. It's been so transformative - mentally and physically.",2
"Saint Laurent, Dior, sometimes Chanel, Jin-Soon",1
"The whatsapp group, where we organize and keep each other up on our daily basis. This week it rained a lot and we kept each other informed about big and dangerous serpents that were moving around land. I like to cook and share food and I like to take part in the activities like dancing on Sundays, a dance where 5 women dance around the fire and we call it GIRA. There were also singing classes here but now we are on a break.
",2
"Yes and no. there are 2 frogs in the house. They are wild but I gave them names so we could get along better. One is Susan (lives in the shower) and the other is Periquita (lives in the kitchen).
",1
"Mobile's convenience is paramount__¡±and while most mobile games are of middling engagement, expectations are also appropriate. Console is usually my method of choice, as it's often less expensive than computer, and easier to rally around as a group of friends with different economic prospects.",1.5
"They are building a museum of the future in dubai...the architecture is to die for! I__m a freelance artist and I create and sell arabic calligraphy abstract art. So naturally, this architectural wonder would have to be my numero uno!",1.5
"Recently i downloaded this app called Headspace. It's a pretty cool app. Helps with guided meditations and daily videos of how to calm oneself down. I've been grinding a lot over the past year or so and I've been creating a lot. It's organized chaos, but I've been looking for something to help me focus a little better and this app helped quite a bit.",1
"First brand that comes to my head is Ferrari. I think they are still in the conversation as a luxury brand and something that only few can attain. But i do think they have taken a hit recently. They aren't as current as a Lamborghini or Mercedes. Also their dip in F1 is a major factor in them not being at the top of the pyramid.
",1.5
Creative,1
"Eggs because they're a staple and good protein, eaten at breakfast mostly, which makes me feel good about making a healthy choice. Peanut butter because (I think) it's healthy, for lunch on weekends. Because I listened to an interview with Al Jaffee (MAD Magazine) and he's been eating a PB&J for breakfast every day for decades and he's in his 90s and still as sharp as Groucho.",2
"Nars, Dior, Laura Mercier, Estee Lauder, Tom Ford, Guerlain",1
"Matches.com townhouse in Mayfair is a great example of a luxury experience. The selection of products is incredible, the staff is super friendly, the space is welcoming and makes you feel curious",1.5
"The only think that've may changed is paying more attention to what's natural or organic. Today, instead of opting for a sweetener I go with honey, for example.",1.5
"I love juices, love to cook and create my own recipes",1
Wife and two teen-aged children,1
"I am getting into luxury tech items recently - noice isolating headphones, controlling your home tech from your phone etc., even high tech coffee machines.",1
"Forgot my water bottle and didn't have a chance to buy a bottle of water
",1
"It doesn't take much to be successful. To be able to spend time with somebody you love, travel, do what you like and be in demand means to be successful.",1.5
"It means having a positive impact, leaving behind a powerful legacy. Success to me is defined by being able to do what I am best at, finding a way to use my skills at best, being able to shine. I want to use my talents in the best possible way, and feel alive and energized while doing it. I want to ""die empty"" (https://amzn.to/3k3Mrze) of ideas, projects, experiences and desires.",1.5
"Even though my relationship with money is a lottt healthier I never want to be in a position where money changes me or my core values.
 But if I did have all the money in the world I think its hard for me to say the answer that I want to say - which is give to charity, help out people in need, build a hospital. The reality is that I don__t know how I would beee. 
 Maybe I would be the next Mother Teresa of our generation or maybe I would be the next Jeff Bezos and buy amazon over ____
 But either way I would hope I would use the money for good - give back to my parents the unquantifiable amount of work, sacrifices and opportunities they provided for me and honestly maybe just create a world where there was no need for currency and remove the concept of money all together! Who knows - that might prevent/solve a lot of world wars__¡è¡¤__________",2
"I think there¡¯s a limitation on interaction because the face-to-face element is removed so that can be difficult
",1
"First of all I will ensure my future, so I will buy my house, I will buy a car and all the things I need with my girlfriend to live. Then I will invest in a personal startup about city mobility and then I will ""reserve"" some money for the future for any evenience",1
"If I had all the money in the world, I would first treat myself. It might sound selfish, but I would because I am assuming I have worked very hard for all this money. I would treat myself by buying back my grandfather's old house and restore it to what I remember it being. I might buy a cool vintage car and appreciate the things money can buy, its true. But it wouldn't stop there, I would continue the work I was doing, I would work to create solutions to restore our environment and I would support the organizations that align with my beliefs and would better society. I don't think anyone needs all the money in the world, but instead everyone should have enough money to have a healthy comfortable lifestyle to enjoy and spoil themselves.",2
"I would travel and seek to be a nomad. I would work from every country I would arrive. I would know the culture, the people and the lifestyle of each country.",1
"Yes. I seem to be less bothered about what I eat - but I simultaneously seem to desire less junk food. If I have something indulgent, I only seem to need a little amount to satisfy myself. I've stopped caring about calories. I just listen to what my body needs. Drink loads of water. And stay away from alcohol. My body doesn't seem to need as much these days either.",2
"I think for make-up I have really liked both Saint Laurent and Dior. I tried some mascara samples and fell in love with a Saint Laurent mascara called The Shock - and I just love how good this product is, it does everything a mascara should! So this was complete product satisfaction. I have always been attracted to the brand history and beautiful legacy of Dior so buying make-up and perfume from Dior felt like the classic ""accessible luxury"" buy for me.",1.5
"I believe that digital make it easy for us to opt in but on a daily basis we cannot engage enough in all communities. I see myself inside many whatsapp groups and even here, but I don't have time to enjoy and appreciate and start creating bonds.
",1
"60% on PS4 playing Overwatch (usually online with friends)
 10% on PS4 playing a variety of random games with friends, usually as couch coop (Rocket League, Nidhogg, Brawlhalla, etc.)
 10% on PS4 playing fighting games online (Street Fighter, Mortal Kombat)
 10% on mobile (iPhone) playing Brawlstars
 10% playing Hearthstone (split between laptop and mobile)",2
"I think the future is closer than we think. With the whole metaverse and blockchain technology, life as we know it is about to change. For me i've always wanted a real time avatar of me being able to experience what i'm about to buy. I don't have any doubts as to whether it will look good or fit while purchasing it. Being able to do that would be a massive game changer. I've always liked bespoke items as well, but the price point is always what throws me off. Something affordable and still looks upscale is what i'm always looking for.",2.5
Being able to just disappear into my own world of music and ignoring the world outside. Sometimes you just want to be alone in public.,1.5
"I'm an omnivore, so I eat meat a few times a week. I eat nuts daily (mixed nuts and peanuts). Protein is important to give me the energy to chase down my 2 1-year-olds.",1.5
"Tom Ford because it encompasses luxury with a hint of sensuality, indulgence and self-expression. The products make me feel ""important"", sexy, powerful and confident",1.5
Knowing if what you eat is healthy and good for your body and your mood,1
Self and wife,1
"Got home and drank a huge glass of water
",1
"Fear is what__s holding me back. Fear of the unknown as I don't really know what DeFi is and the extend of it, fear I may lose money, fear I won__t be able to use my money immediately. Also, I think that now it__s a bit too late to invest in virtual currency. In the beginning when Bitcoin started it was really cheap to buy coins and start investing. You had the security that ___ok, even if I lose my money, it__s not that big a loss since the initial investment was low.__ Now, I don__t know about all the virtual currencies, but for Bitcoin it is really expensive to invest in. Also, there are always rumours that at some point it will have reached it__s maximum and you can__t gain more after that point (someone tried once to tell me why; all I understood is that there are some algorithms that need to be cracked). And that is a bit scary. So, you reach a ceiling and then what? So, I always thought it was a short gain only with no real value, just a trend that will die off.",2.5
"I don't need all the money in the world, I need enough money to be independent. The most difficult thing is to have as much money that you don__t have to think about it at least for a while",1.5
"Money is definitely a mean to obtain freedom, specifically freedom to make choices that are aligned with my values and goals. Financial freedom to me means freedom tout court. I always had the idea that I will never be without money, that it will come to me quite naturally. As a result, I never worry about money but I am very grateful for its presence. Sometimes I ""ask"" the Universe for a specific sum or some extra money and almost every time it shows up in the form of gifts, extra gigs etc. I rarely/never worry about money, but I am aware this is a very privileged situation.",2.5
"I like how much money and finance as an industry has evolved. Before I used to primarily associate it with stock brokers working in hi-rise buildings in Canary Wharf (I stilll kinda do____). But now I like how it merges and integrates into so may other areas such as social media, marketing (things like this) and so much more - making it more accessible to everyday people like me and not just the privledged",1.5
"A safe space where we can all be ourselves with no judgement
",1.5
"I have recently discovered Revolut, I find it interesting because this bank provide you infinite virtual debit card and this is a good thing to protect yourself while shopping on the Internet",1
"While it's not super recent, one very interesting thing in the world of money, is ApplePay. I find this very cool because it completely changes the way our money is viewed and used. Since it has gained so much popularity in the last few years, more apps with a similar system have been created. With this technology the idea of cash money is dwindling even more and smartphones are becoming a larger and more constant part of our life.",1.5
This question is very difficult to answer. There are many wonderful things in this world. But I am not a person who is impressed by material things. Perhaps the most beautiful thing in this world is being able to enjoy a moment alone looking at the sky and feeling a sea breeze.,1.5
"Barre. I've always loved dancing and used to do ballet at school, but have had a few false startsto re-start ballet classes as an adult. I think if I'm being honest, I just found them a bit slow and boring and like being at school. When I discovered Barre (ballet moves and pilates, with strength building elements) I got hooked on that. Xtend Barre in London has really great teachers, encouraging, and for all levels. I love the dance elements, I am challenged, and made to feel like I'm capable of getting better at it.",2
Pat McGrath - possibly the most iconic and obvious answer but she is like the top of the food chain of beauty mavens. I like that she has such real industry experience and is just so talented. Jeanne Damas - model and founder of Rouje is maybe more a life-style guru than just make up but I love her simple but classic (and very french) approach to make-up. Her stuff feels very real and genuine.,2
